Movie,Content
Me Before You,"Louisa and Will's relationship starts out rocky due to his bitterness and resentment over being disabled. Things worsen after Will's ex-girlfriend, Alicia, and best friend Rupert reveal that they are getting married. Under Louisa's care, Will gradually becomes more communicative and open-minded as they share experiences together. Louisa notices Will's scarred wrists and later overhears his mother and father discussing how he attempted suicide shortly after his mother, Camilla, refused his request to end his life through Dignitas, a Swiss-based assisted suicide organization. Horrified by his attempt, Camilla promised to honor her son's wish, but only if he agreed to live six more months. Camilla intends to prove that, in time, he will believe his life's worth living.
Louisa conceals knowing about Will and Camilla's agreement. However, she tells Treena, and together they devise ways that will help convince Will to abandon his death wish. Over the next few weeks, Will loosens up and Louisa begins taking him on outings and the two grow closer.
Through their frequent talks, Louisa learns that Will has traveled extensively; his favorite place is a café in Paris. Noticing how limited his life is now and that he has few ambitions, Louisa tries to motivate Will to change.
Louisa continues seeing her longtime boyfriend of 7 years, Patrick, though they eventually break up due to her relationship with Will. Meanwhile, Louisa's father loses his job, causing more financial difficulties. Steven Traynor offers Mr. Clark a position. Louisa realizes that Will is trying to help her secure her freedom from her family. The two attend Alicia and Rupert's wedding where they dance and flirt. Will tells Louisa that she is the only reason he wakes in the morning.
Louisa convinces Will to go on a holiday with her, but before they can leave, Will contracts near-fatal pneumonia. Louisa cancels the plans for a whirlwind trip. Instead, she takes Will to the island of Mauritius. The night before returning home, Louisa tells Will that she loves him. Will says he wants to confide something, but she admits that she already knows about his plans with Dignitas. Will says their time together has been special, but he cannot bear to live in a wheelchair. He will be following through with his plans. Angry and hurt, Louisa storms off and does not speak to him for the remainder of the trip. When they return home, Will's parents are pleasantly surprised by his good physical condition. Louisa, however, resigns as his caretaker, and they understand that Will intends to end his life.
Back at home Louisa is miserable and her mother is outraged when Louisa tells them everything about Will. The media and journalists arrive at the house having been tipped off by Patrick and the family become isolated. Treena then finds a message from Camilla Traynor requesting Louisa to come to Switzerland. Louisa accepts despite her mother forbidding it and flies out to see Will. Once reunited again at the clinic they agree that the past six months have been the best in their lives. He dies shortly after in the clinic, and it is revealed that he left Louisa a considerable inheritance, meant to continue her education and to fully experience life. The novel ends with Louisa at a café in Paris, reading Will's last words to her in a letter, that tell her to 'live well'."
Looper,"In 2044, 25-year-old Joe works for a Kansas City crime syndicate as an assassin, or ""looper."" Since tracking systems in the future of 2074 have made it nearly impossible to dispose of bodies undetected, the syndicate sends its enemies back in time to be executed. Managed by a man from the future named Abe, loopers kill and dispose of victims whose faces are concealed, recovering silver bars attached to their targets as payment. To hide connections to the syndicate, any loopers who survive until 2074 are sent back and killed by their own younger selves, referred to as ""closing the loop."" These targets are identified by gold bars instead of silver, marking the end of the looper's contract.
Joe's friend Seth comes to see him after failing to kill his future self. Old Seth escaped after warning Seth that a person called the Rainmaker would overthrow the five major bosses and close all loops. Joe reluctantly hides Seth in his apartment's floor safe, but later reveals his location after Abe threatens to confiscate half of Joe's saved silver. Abe's elite ""Gat Men"" capture Seth, cut an address into his arm, and begin severing his body parts. These effects appear on Old Seth's body; he goes to the address on his arm and is killed by Kid Blue, one of the Gat Men.
When Joe's next target arrives, it is his older self, but with his face uncovered and hands unbound. Old Joe knocks him out and escapes. Returning to his apartment and finding it ransacked by the Gat Men, Joe fights with Kid Blue, falls off a fire escape and blacks out.
In another timeline, Joe does kill his older self. He moves to Shanghai and becomes a hitman to finance his drug addiction and wild life. Eventually, he marries and breaks the addiction with his wife's help. Seven years later, his wife is killed when Joe is taken to close the loop. Overpowering his captors, Old Joe sends himself back to 2044, altering his history by evading Joe and escaping.
Old Joe experiences vague memories of Joe's actions in the present, and meets his younger self at a diner. He wants to save his wife by killing the Rainmaker as a child. He acquires a map from a local library using numbers written on his hand that supposedly pertain to the Rainmaker's identity. Kid Blue and the Gat Men appear, and a gunfight ensues. Both Joes escape, with pieces of the map.
Joe follows the map to a farm where a woman named Sara lives with her young son Cid. Sara recognizes the numbers on the map as Cid's birthday and the location of the hospital where he was born. Joe deduces that Old Joe plans to kill all three children born at that hospital on the same day, not knowing which one will become the Rainmaker.
Jesse, a Gat Man, comes to the farm, but Cid helps Joe hide. Later that night, Sara and Joe have sex, and Sara reveals that while she has slightly above-average telekinetic powers, Cid's abilities are far stronger. In the morning, Joe wakes to find Jesse holding Sara at gunpoint. Cid kills Jesse using telekinesis. Joe realizes that Cid will become the Rainmaker and that Old Joe will now know this.
Kid Blue captures Old Joe and takes him to Abe. Old Joe breaks free, killing Abe and his henchmen, and goes to Sara's farm, followed by Kid Blue. While Joe kills Kid Blue, Old Joe pursues Sara and Cid. When Cid's face is grazed by a bullet, Sara calms him before he can react and kill anyone. She sends Cid into a sugar cane field and positions herself to block Old Joe's line of fire. Joe realizes that Cid will become the Rainmaker if Old Joe kills Sara. He commits suicide, erasing Old Joe's existence, saving Sara and potentially preventing Cid from becoming the Rainmaker."
The Girl In The Photographs,"The film opens with two young women, Britney and Janet, exiting a movie theater and heading in opposite directions. Janet heads to her car in a dark parking lot where one other truck, a blood-red Bronco, sits. As she drives off the Bronco begins following her. As she enters her home there's a man waiting. He is wearing a mask, no shirt and he attacks her. After tying her up, he meets with the second man, along with her vehicle. All the while, they're taking pictures of her.
Next, a man sits at a computer printing out a picture. Colleen is a young woman working at the local grocery store. Arriving early in the morning for work she sees a photograph stapled to the bulletin board at the front of the store. It contains a young bloodied woman, Janet, lying dead on a bed.
Later that day Colleen goes to the Sheriff's Station in Spearfish and shows them the photograph. Not believing a crime took place, they tell her to sign a statement and be on her way. She points out that this picture is labeled number 7 at the bottom.
In L.A., Peter Hemmings, a prior Spearfish resident and photographer, is reading an online blog about the same photographs. Assuming that the person taking the photographs is trying to create the ""Dead Model"" look, he decides to travel to Spearfish. Along with his assistant Chris, his girlfriend and model Rose, and two other models, Victoria and Trip, they head to Spearfish.
When they arrive they meet Colleen at the local grocery store, where she works, and invite her to the house they're renting for a party. Prior to her arrival she contacts her friend Jill, to meet her at the party. Unbeknownst to her, Jill was kidnapped by the two men who kidnapped the previous girl. In a cage, a man offers her a can of cat food. Angry, she refuses the food, and he goads her into trying to take her cell phone. When she reaches for it, the second man uses a belt to choke her. The first man then uses Jill's phone to text Colleen, as Jill, that she will meet her at the party.
While getting ready for the party, Colleen's boyfriend, Ben, says he wants to see her, which she refuses. After arriving at the party, Peter begins taking her photograph until she pushes him away and goes to her car. When she gets to her car she sees another photograph. The picture is of Jill, mutilated and one eyeball removed. The police arrive and say there isn't anything they can do.
Arriving home, Ben is waiting and they get into an argument. When he leaves, he gets ambushed by the men and is taken. One of the men enters Colleen's apartment, unbeknownst to her, and leaves Ben's wallet behind. Later, at work, Colleen meets one of the men, Tom. After a short conversation, she is approached by Chris and Peter. Peter offers to take her to L.A. and make her a model, the star of his new ad campaign, to which she agrees.
After heading home, she packs a few belongings and texts Ben that she's leaving town. When Tom checks Ben's phone, he sees the message and tells him his body will fit into two bags. At the house, Peter and Rose head to the hot tub, where they're attacked. Peter is viciously stabbed to death and Rose has her neck broken with a towel. Next, the two models are blinded by the flash of a camera and stabbed to death.
In the bedroom, Colleen and Chris are talking and she decides to go to bed. Chris heads downstairs and sees the front door open. After approaching the door, he sees Rose lying on the ground, covered by a towel and dead. He runs back inside calling for Peter and tries to call 911, when the power goes out. Using the flash lens from the camera as a light, he walks around the house, but Gerry approaches from behind and stabs him in the head. Upstairs, Colleen tries to leave the room, but Tom is holding the door shut. She hides under a desk until the power comes back on. After heading downstairs she sees the bodies and the two men arranging them by the couch. Tom turns and takes her picture. He also tells her that he wants her to tie her hair up for second picture. After trying to escape, she is stopped by Gerry.
In the end, we see Britney heading to work. As she's about to open the store, she sees a photograph on the front door. Chris, Peter, Rose, Ben, Victoria and Trip are all posed, while Colleen is sitting in the middle with her hair tied up."
London Has Fallen,"G8 intelligence services locate Pakistani arms trafficker and terrorist mastermind Aamir Barkawi at his compound, and authorize a US Air Force drone strike during his daughter's wedding, killing Barkawi's family and seemingly Barkawi himself.
Two years later, British Prime Minister James Wilson suddenly dies, and the G7 prepare to attend his funeral in London. Secret Service Director Lynne Jacobs assigns Agent Mike Banning to lead American President Benjamin Asher's overseas security detail, even though Banning's wife Leah is due to give birth in a few weeks. The entourage arrives via Air Force One at Stansted Airport, and Banning arranges an earlier arrival at Somerset House in London via Marine One.
As Asher's Presidential State Car arrives at St Paul's Cathedral, a large army of mercenaries led by Barkawi's son Kamran launch coordinated attacks on the city disguised as Metropolitan Police, the Queen's Guardsmen, and other first responders, killing five world leaders, damaging major landmarks, and generating mass panic. Asher's early arrival throws off the St. Paul's attack, and Banning returns him and Jacobs to Marine One. The terrorists destroy the helicopter's escorts with Stinger missiles, ultimately forcing a crash-landing in Hyde Park, killing Jacobs, however shortly before Jacobs's death, she forces Banning to promise her that he'll stay alive so that he can reunite with his family and help punish those responsible for the attack. Banning escorts Asher into the London Underground as the city's power is lost and residents shelter indoors.
In Washington, D.C., American Vice President Allan Trumbull investigates the incident with British authorities while trying to track down the President. He receives a call from Barkawi, still alive and operating in Sanaa. Seeking revenge for the drone strike that killed his daughter, and having poisoned Wilson to lure the G7 leaders to London, Barkawi promises to broadcast Asher's execution online when Kamran captures him. Trumbull orders his staff to locate Barkawi's known terrorist operatives and find any connection to the attack, while British authorities stand down all first responders so any left in the open can be identified as terrorists. After leaving a sign to be picked up by satellite, Banning leads Asher to an MI6 safe-house, where MI6 Agent Jacquelin ""Jax"" Marshall briefs them. Marshall receives a voice message from Trumbull that they saw Banning's sign and an extraction team is en route. 
Security monitors display an approaching Delta Force team, but Banning realizes they have arrived too soon and are actually Barkawi's men. He fights and kills all of them and drives away with Asher, but their car is struck before they can reach the United States Embassy, and Asher is taken. Banning is rescued by an extraction team consisting of the real Delta Force and SAS, who suspect a mole in the British government.
Trumbull's staff identify a building owned by one of Barkawi's front companies, drawing massive power despite being 'unoccupied,' and realize it is Kamran's headquarters. Banning joins the extraction team to infiltrate the building, arriving seconds before Kamran can kill Asher on live coverage. Kamran escapes when his hacker, Sultan Mansoor, drops a grenade before being killed, forcing Banning to protect Asher from the blast. Banning and Asher escape just before the building is destroyed by the SAS squad captain using an explosive that Mike had planted earlier, killing Kamran and the remaining terrorists. Marshall helps British authorities restore London's security system and, discovering that MI5 Intelligence Chief John Lancaster was Barkawi's mole, kills him when he resists arrest. Trumbull tells Barkawi that his plan failed, moments before the United States Air Force attack his base with another drone strike, killing him.
Two weeks later, as London recovers, Banning is home spending time with Leah and their newborn child Lynne, named after Jacobs. As Banning contemplates sending a letter of resignation, he watches Trumbull speak on television regarding the recent events. Inspired, Banning deletes the letter."
10 Cloverfield Lane,"In March 2016, after an argument with her fiancé Ben, Michelle hurriedly packs a suitcase, leaves behind a diamond ring, and departs New Orleans, Louisiana. While she is driving through rural Louisiana at night, Ben telephones, begging her to return. The news reports of blackouts in several major cities. Suddenly, her car is struck, flipping off the road and rendering her unconscious.
Michelle awakens with a leg injury while chained to a wall in a concrete room. A man named Howard enters and unchains her. She later unsuccessfully ambushes him, and he explains that there has been a massive attack, perhaps by Russians or Martians, and he had found her wreck and saved her life by bringing her to his underground bunker. He tells her that they cannot leave for one or two years because the air outside is poisoned and everyone outside is dead.
Howard gives Michelle a tour of his well-stocked bunker, which also houses his construction assistant, Emmett. Through a viewport, Howard shows her his two decayed pigs outside as evidence of the fallout, but she also sees Howard's truck and regains her memory of it striking her car. She privately relays this to Emmett, who dismisses it, saying he came to the bunker voluntarily after seeing the attack happen.
During dinner, Howard shows flashes of jealousy and rage and little tolerance for Emmett. Michelle steals Howard's keys and injures him while trying to leave the bunker, but before she opens the outermost door, a woman covered with lesions appears outside, screaming to be let in before committing suicide. Horrified, Michelle retreats. Howard confesses that he accidentally struck Michelle's car while in a panic to reach the bunker. Now convinced, she stitches a cut she caused to Howard, who opens up about his late daughter.
The trio begins to adapt to life underground, but the air ventilation system fails after something loud passes overhead. Howard sends Michelle through a small duct to reactivate it. In the control room, she finds a padlocked skylight with ""HELP"" scratched on the inside and an earring she had seen in a picture Howard showed her of his daughter. She shares this with Emmett, who recognizes the girl in the picture as a local girl who had gone missing two years earlier. They decide to seek help, so Michelle begins to fashion a makeshift hazmat suit to venture outside.
Howard finds some of the tools Michelle and Emmett were using for their plan and threatens to immerse them both in perchloric acid. Emmett takes responsibility, claiming he was building a weapon to use to get Howard's gun. Howard says he accepts Emmett's apology before shooting him in the face, telling a shocked Michelle that now they can finally be a family of two. Michelle finishes the suit while Howard cleans up. He discovers the suit, but she flees and is able to upend the barrel of acid onto him, which disfigures him and starts a fire. She dons the suit, traps Howard, and escapes. When she sees birds outside, she removes her gas mask. Michelle then observes a biomechanical alien craft in the distance, which flies towards her when the bunker explodes from the fire. The craft discharges a green gas, which she overcomes with her mask. She is also attacked by a quadrupedal creature and shelters from it in Howard's truck. The craft's tentacles lift the truck midair to reach Michelle, but she destroys it with a Molotov cocktail, causing the truck to fall back to the ground.
Michelle drives off in the woman's car. A radio broadcast says humans are successfully fighting against the invaders and instructs survivors to seek safety in Baton Rouge, while requesting the help of anyone with medical or combat training in Houston. Michelle heads for Houston while a larger alien craft is revealed, silhouetted by lightning."
Ip Man 3,"In 1959, Ip Man lives a low-profile life in Hong Kong. His elder son, Ip Chun, has returned to Foshan to study, leaving Ip with his younger son, Ip Ching, and his wife, Cheung Wing-sing, in Hong Kong. Bruce Lee visits Ip and asks to become one of his students. After Lee demonstrates his speed, Ip neither accepts nor rejects him, but insinuates for him to leave by opening the door.
After Ip Ching gets into a fight with his schoolmate Cheung Fong, their teacher, Miss Wong, asks the parents to come to the school, though only the Ips arrive. As an apology, the Ips invite Fong to their home for dinner. At Ip's house, Fong displays rudimentary but impressive Wing Chun skills. When asked who his mentor is, Fong says it is his father, Cheung Tin-chi, who shows up to collect his son shortly after. Although Tin-chi interacts cordially with Ip, he secretly envies and seeks to surpass him.
Tin-chi participates in underground fights organized by Ma King-sang, a local triad leader who works for Frank, an American property developer and highly proficient boxer. Frank orders Ma to acquire the land occupied by the school where Ching and Fong study. When Ip goes to collect his son from school, he witnesses Ma and his men beating the school principal after he refuses to sell. Ip intervenes and restrains Ma, but is forced to release him. Ip seeks help from his close friend Fat Po, a local police sergeant. Po agrees to help, but says that he lacks the manpower and influence to protect the school every day. Ip then decides to guard the school alongside his students.
That night, Ma's men set fire to the school and attempt to kidnap the principal. Tin-chi happens to be passing by, and helps fight off Ma's thugs. Tin Ngo-san, a local martial arts master and Ma's former mentor, is enraged by Ma's unscrupulous acts and confronts Ma at a Hong Kong shipyard, humiliating him in front of his men. Ma retaliates with a hidden knife, but Ip stops him. Po arrives and keeps tensions from escalating further. Ma offers Tin-chi a large sum of money to get revenge against Ngo-san on his behalf. Desperate for money and wanting to open his own martial arts school, Tin-chi accepts the offer and attacks Ngo-san, hospitalizing him.
Ip receives a call from the hospital and visits Ngo-san. Upon learning that Ngo-san did not call him, Ip realizes it was a set-up by Ma to lure him away from the school, where Ma's gang have abducted some of the students, including Ching and Fong. Ip arrives alone at Ma's shipyard, where Ma holds Ching at knife point and threatens to sell the children into slavery if the principal refuses to sell the school. Tin-chi is allowed to leave with Fong due to being an associate, but after his son tells him that they still have his friends, he returns and fights alongside Ip. Ip and Tin-chi hold their own until a troop of policemen led by Po arrives to arrest the gang. Frank dismisses Ma for his failures and sends a Thai boxer named Muay Thai Warrior after Ip instead.
Returning home, Ip learns that Wing-sing has been diagnosed with cancer. On their way home from a medicine shop, Ip and Wing-sing are attacked in an elevator by Muay Thai Warrior, who Ip defeats before the elevator reaches the ground floor. Po tells Ip about Frank, who wants to eliminate Ip at all costs for obstructing his plans. Ip confronts Frank in his office, where Frank promises to leave the school alone if Ip can last an entire three minute fight. Initially overwhelmed by Frank's muscle and sheer force, Ip turns the tide by attacking Frank's lower half. They fight to a draw after the three minutes pass; seemingly impressed, Frank keeps his promise.
Tin-chi opens his martial arts school with the money he obtained from Ma, and claims that his Wing Chun is genuine while Ip's is not. He publicly challenges Ip to a battle that will decide who is the true Grandmaster of Wing Chun. However, Ip instead spends more time with his ailing wife, ashamedly feeling that he had neglected her. Wanting to dance with his wife, Ip is taught how to dance by Lee, whom Ip finally accepts as a student; because of Ip's failure to attend, Tin-chi is declared the winner. Wing-sing makes arrangements for another match on her husband's behalf, correctly guessing that Ip would have attended if not for her deteriorating health, and accompanies him to the fight. After a long battle involving staffs, butterfly knives and unarmed combat, Ip eventually overpowers Tin-chi. Accepting defeat, Tin-chi destroys the banner proclaiming himself Grandmaster, and Ip tells him that spending time with their loved ones is more important than competing with others.
A closing onscreen text states that Wing-sing died in 1960, and that Ip helped make Wing Chun well known internationally and left a legacy."
Star Wars: The Force Awakens,"Thirty years after the Battle of Endor,[a] the First Order has risen from the fallen Galactic Empire and seeks to end the New Republic. The Resistance, backed by the Republic and led by General Leia Organa, opposes the First Order. Leia searches for her brother, Luke Skywalker, who is missing.
On the desert planet Jakku, Resistance pilot Poe Dameron receives a map to Luke's location from an old ally. First Order stormtroopers commanded by Kylo Ren arrive and capture Poe. His droid, BB-8, escapes with the map and encounters Rey, a lone scavenger. Kylo tortures Poe using the Force and learns of BB-8. Stormtrooper FN-2187, disillusioned with the First Order, saves Poe, and they escape in a stolen TIE fighter. Upon learning that FN-2187 has no other name, Poe names him ""Finn"". As they head to Jakku to retrieve BB-8, a First Order Star Destroyer shoots them, and they crash-land. Finn survives and assumes Poe was killed after finding his jacket in the wreck. Finn encounters Rey and BB-8, but the First Order tracks them and launches an airstrike. Rey, Finn, and BB-8 steal the Millennium Falcon and escape Jakku.
The Falcon is discovered and boarded by Han Solo and Chewbacca. Gangs seeking to settle debts with Han attack, but the group escape in the Falcon. At the First Order's Starkiller Base, a planet converted into a superweapon, Supreme Leader Snoke approves General Hux's request to use the weapon for the first time on the New Republic. Snoke questions Kylo's ability to deal with emotions surrounding his father, Han Solo, whom Kylo states means nothing to him.
Aboard the Falcon, Han determines that BB-8's map is incomplete. He then explains that Luke attempted to rebuild the Jedi Order, but exiled himself when an apprentice turned to the dark side, destroyed Luke's temple, and slaughtered the other apprentices. The crew travel to the planet Takodana and meet with cantina owner Maz Kanata, who offers help getting BB-8 to the Resistance. The Force draws Rey to a secluded vault, where she finds Luke's lightsaber. She experiences disturbing visions, including a childhood memory of a ship leaving her on Jakku. Rey denies the lightsaber at Maz's offering and flees into the woods. Maz gives Finn the lightsaber for safekeeping.
Starkiller Base destroys the New Republic and its four neighboring planets, leaving the Resistance on their own. The First Order attacks Takodana in search of BB-8. Han, Chewbacca, and Finn are saved by Resistance X-wing fighters led by Poe, who survived the crash. Leia arrives at Takodana with C-3PO and reunites with Han. Meanwhile, Kylo captures Rey, having realized that she had seen the map, and takes her to Starkiller Base, but she resists his mind-reading attempts. Snoke orders Kylo to bring Rey to him. Discovering she can use the Force, Rey escapes using a Jedi mind trick on a stormtrooper guard.
At the Resistance base, BB-8 finds R2-D2, who had been in low-power mode since Luke's disappearance. As Starkiller Base prepares to fire once more, the Resistance plans to destroy it by attacking its thermal oscillator. Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility, find Rey, and plant explosives. Han confronts Kylo, calling him by his birth-name Ben, and implores him to abandon the dark side. Kylo seems to consider this, but ultimately kills Han. Chewbacca shoots Kylo, injuring him, and sets off the explosives, allowing Poe to attack and destroy the base's thermal oscillator.
Kylo pursues Rey and Finn into the woods, and incapacitates Rey. Finn uses the lightsaber to duel Kylo, but is quickly defeated. Rey awakens, takes the lightsaber, and defeats Kylo in a duel. Snoke orders Hux to evacuate and bring Kylo to him to complete his training. Chewbacca saves Rey and the injured Finn, and they escape aboard the Falcon. As the Resistance forces flee, Starkiller Base implodes and erupts into a star. R2-D2 awakens and reveals the rest of the map, which points to the oceanic planet Ahch-To.
Rey, Chewbacca, and R2-D2 travel to Ahch-To on the Falcon. Rey finds Luke atop a cliff on a remote island and silently presents him with his lightsaber."
Creed,"In 1998, Adonis ""Donnie"" Johnson – the son of former heavyweight champion Apollo Creed via an extramarital affair – is serving time in a Los Angeles youth detention center when Creed's widow, Mary Anne, visits and offers to take him in.
In 2015, Donnie is in Tijuana, preparing for his fight in an amateur boxing bout hosted in a bar. Upon returning from his latest fight, Donnie resigns from the Smith Boardley Financial Group to pursue his dream of becoming a professional boxer. Donnie auditions at Los Angeles' elite Delphi Boxing Academy, managed by family friend Tony ""Little Duke"" Evers Jr., the son of Apollo's trainer Tony ""Duke"" Evers, but is turned down. This rejection is further emphasized as Donnie is beaten in a sparring match by light heavyweight champion and #2 pound-for-pound Danny ""The Stuntman"" Wheeler after he publicly challenges the whole gym to prove himself, betting his 1967 Ford Mustang that no one can get a clean head shot on him. Mary Anne vehemently opposes his aspirations, remembering how her husband was killed in the ring by Ivan Drago thirty years ago.[a] Undaunted, Donnie travels to Philadelphia in hopes of getting in touch with his father's old rival-turned-friend, former heavyweight champion, Rocky Balboa.
Donnie meets Rocky at Rocky's Italian restaurant, Adrian's, named in honor of his deceased wife, and asks Rocky to become his trainer. Rocky is reluctant to return to boxing, having already made a one-off comeback[b] at a very advanced age despite having suffered brain trauma[c] during his career as a fighter, but eventually agrees. Donnie asks him about the ""secret third fight"" between him and Apollo just after Apollo helped Rocky regain the heavyweight title,[d] and Rocky reveals that Apollo won. Donnie trains at the Front Street Gym, with several of Rocky's longtime friends as cornermen. He also finds a love interest in Bianca, an up-and-coming singer and songwriter in the early stages of progressive hearing loss.
Donnie, fighting under his biological mother's surname, Johnson, and the fight name ""Hollywood"", defeats local fighter Leo ""The Lion"" Sporino, which upsets the opposing corner. This leads to the opposing side leaking the news that Donnie is Creed's illegitimate son. Rocky receives a call from the handlers of world light heavyweight champion ""Pretty"" Ricky Conlan, who is being forced into retirement by an impending prison term. He offers to make Donnie his final challenger—provided that he fights using his father's surname, Creed. Donnie is hesitant at first, wanting to forge his own legacy. However, he eventually agrees with a little convincing from Bianca.
While helping Donnie train, Rocky stumbles, falls and is rushed to the hospital. Through further testing, he is diagnosed with non-Hodgkin's lymphoma. He is unwilling to undergo chemotherapy, citing its inability to save Adrian when she had ovarian cancer. His diagnosis and the fact that his best friend and brother-in-law Paulie Pennino – Adrian's brother – has now died along with Apollo, and his old trainer, Mickey Goldmill, consign him to accept his eventual death, without treatment. Donnie later finds out and urges him to seek treatment, and eventually refuses to train for his fight with Conlan if Rocky doesn't accept treatment, which Rocky finally agrees to.
Donnie fights Conlan at Goodison Park in Conlan's hometown of Liverpool, and many parallels emerge between the ensuing bout and Apollo and Rocky's first fight[e] forty years earlier. First, before entering the ring, Donnie receives a present from Mary Anne – new American flag trunks similar to the ones Apollo and later Rocky wore. Additionally, to the surprise of nearly everyone, Donnie gives Conlan all he can handle. Conlan knocks Donnie down, but Donnie recovers to knock Conlan down for the first time in his career. Donnie goes the distance, but Conlan wins on a split decision, and Donnie has won the respect of Conlan and the crowd. As Max Kellerman puts it while calling the fight for HBO, ""Ricky Conlan won the fight, Adonis Creed won the night."" Conlan tells Donnie that he is the future of the light heavyweight division.
The film ends with Donnie and a frail but improving Rocky climbing the 72 steps outside the entrance of the Philadelphia Museum of Art."
Black Mass,"In 1975, James ""Whitey"" Bulger, leader of the Winter Hill Gang, controls most organized crime within South Boston, along with his right-hand man Stephen Flemmi, newcomer Kevin Weeks, and callous hitman Johnny Martorano. Bulger lives with his longtime girlfriend Lindsey Cyr and their young son Douglas.
Bulger's supremacy is challenged by the North End-based Angiulo Brothers, a rival gang that is part of the New England Mafia family. FBI agent John Connolly returns to the area, having grown up in South Boston as a friend of Whitey and his brother, Massachusetts Senate President William ""Billy"" Bulger.
After the Angiulo Brothers send a motorcycle-riding assassin who murders a Winter Hill soldier, Whitey becomes an informant for Connolly. Connolly believes he can infiltrate the Angiulo Brothers' organization with Whitey's help. Although Whitey hates the idea of being a rat, he understands what the protection doing so, would afford him, his gang, and his family. Douglas suffers from Reye syndrome, leading the devastated Lindsey to remove him from life support over Whitey's furious objections.
Although Connolly is supported by his co-worker John Morris, their boss, Charles McGuire, is suspicious. Whitey increasingly exploits his status as an informant, using Connolly's ""protection"" as a cover for his crimes. When Connolly demands information on the Angiulos' racketeering locations, Whitey gets pictures of the rival gang's hideouts, allowing the FBI to plant wiretaps. The FBI arrests the Angiulos, thus eliminating the remaining opposition to Whitey's power. Blinded by his past, Connolly grows closer to Whitey and the gang and even invites them to his house for a cookout. His wife, Marianne, sees negative changes in her husband as his agent-informant relationship with Whitey grows, including accepting expensive gifts and money from the gang.
An associate, Brian Halloran, fears for his own life and goes to the FBI to report Whitey's involvement, much to Connolly's displeasure. Connolly then tells Whitey of Halloran's accusation, resulting in the murders of Halloran and an unnamed accomplice. Following his mother's death, Whitey's behavior becomes increasingly violent and unpredictable, deteriorating his informant relationship.
When ""bulldog"" prosecutor Fred Wyshak is appointed the new assistant U. S. Attorney in Boston, Connolly attempts to make friends and perhaps divert his attention from Whitey. Still, Wyshak bluntly refuses and demands the FBI arrest him. John McIntyre, an informant within the Winter Hill Gang, informs on an attempt by Whitey to smuggle weapons for the IRA. The shipment is seized, and Whitey kills McIntyre after Connolly tips him off.
Wyshak and McGuire investigate Connolly's management of Whitey's informant role and realize that most of the ""tips"" provided by Whitey were already obtained from other informants. Morris, disillusioned and fearing prosecution for his association with Connolly's activities, divulges Connolly's and Whitey's relationship to The Boston Globe, and a front-page story exposes the FBI's links to organized crime. As Connolly, Flemmi, Weeks, and Martorano are arrested, Whitey gives Billy a final goodbye from a gas station pay phone before leaving Boston.
A textual epilogue reveals Weeks received a five-year sentence, Martorano a twelve-year sentence, and Flemmi a life sentence, while Morris received immunity for his cooperation. Billy became Chancellor of the University of Massachusetts but resigned following the discovery that he was in touch with Whitey. Connolly refused to testify against Bulger; he ultimately was convicted of second-degree murder and received a forty-year sentence. An anonymous tip led to Whitey's arrest on June 22, 2011, in Santa Monica, California. He received two consecutive life sentences with an added five years."
Goodnight Mommy,"After undergoing cosmetic facial surgery, a mother (Susanne Wuest) comes back home to her modern, isolated lakeside house with her ten-year-old twins, Elias and Lukas (Elias and Lukas Schwarz). Her head is swathed in bandages, with only her eyes and mouth visible. The twins are unnerved with their mother's appearance and are further taken aback when she begins to exhibit strange behavior. She pointedly ignores Lukas and appears to only acknowledge Elias in conversation. Though it is the middle of summer, the mother orders the twins to keep the blinds closed during the day, imposes a strict rule of silence inside the house, and allows them to only play outdoors. The mother also acts cruel and lashes out at Elias physically when he displays mischievous or disobedient acts; something that the boys comment that their mother would never do.
The twins begin to suspect that beneath her bandages, their mother may not be the same person. These doubts are confirmed when they find an old picture that shows the mother together with another unknown woman who is wearing identical clothes and shares similar physical traits. With the suspicion that the woman residing in their house is an impostor, the twins tie the woman to the bed and refuse to let her go until she tells them where their real mother is. The woman insists that she is their mother, and the twins seal her mouth with tape to keep her from screaming for help.
In the meantime, two employees of the Red Cross appear to collect donations. Although they initially await the return of the mother, they finally leave the house after receiving a large cash amount from Elias, which he discreetly stole from his mother's purse. Meanwhile, the woman removes the tape and yells for help, but is too late to attract the Red Cross employees' attention. The twins seal her lips with Super Glue, only to cut them open with scissors when they realize she is unable to eat.
While still bound and trapped, the woman wets her bed. The twins briefly free her, allowing her to subdue the boys and escape. The twins, however, have set up a booby trap that knocks her unconscious. The woman wakes glued to the living room floor. Elias starts to burn down the house to pressure her into telling them the truth about their mother, but she firmly insists that she is the twins' real mother.
It is revealed by the mother that Lukas has died in an accident prior to the events of the movie. She tearfully explains to Elias that Lukas's death was not his fault and she begs her son to set her free so they can both move on from the tragedy. Elias challenges her to prove that she is their mother by telling them what Lukas is doing. As she cannot see the hallucinated Lukas threatening to set fire to a curtain, she cannot answer the question. Elias - believing that his real mother would be able to see Lukas - grabs his arm and lights up the curtain. The mother subsequently burns to death before the firefighters arrive. The film ends with a ghostly shot of the mother reunited with her twin sons at a cornfield near their home."
